GISJOIN,AREANAME,PopTotal,White,NonWhite,WhiteNative,Black,MedHouseValue,MedGrossRent
G17003100001,STCTY-17031 TRACT-    0001     IN CHICAGO IL,"4606","4600","6","3784","4","5630",45.65
G17003100002,STCTY-17031 TRACT-    0002     IN CHICAGO IL,"1619","1617","2","1317","2","0",57.49
G17003100003,STCTY-17031 TRACT-    0003     IN CHICAGO IL,"7391","7370","21","6128","21","6971",51.52
G17003100004,STCTY-17031 TRACT-    0004     IN CHICAGO IL,"8901","8867","34","7554","19","4922",50.81
G17003100005,STCTY-17031 TRACT-    0005     IN CHICAGO IL,"16447","16392","55","13531","39","5978",51.07
G17003100006,STCTY-17031 TRACT-    0006     IN CHICAGO IL,"7859","7846","13","6780","12","5229",53
G17003100007,STCTY-17031 TRACT-    0007     IN CHICAGO IL,"5716","5694","22","5024","13","11277",54.66
G17003100008,STCTY-17031 TRACT-    0008     IN CHICAGO IL,"8026","7984","42","6833","20","0",45.3
G17003100009,STCTY-17031 TRACT-    0009     IN CHICAGO IL,"12139","12113","26","10094","16","5979",58.29
G17003100010,STCTY-17031 TRACT-    0010     IN CHICAGO IL,"4018","3991","27","3364","27","7600",61.65
G17003100011,STCTY-17031 TRACT-    0011     IN CHICAGO IL,"6305","6275","30","5435","20","4930",58.63
G17003100012,STCTY-17031 TRACT-    0012     IN CHICAGO IL,"7337","7318","19","6272","13","7118",56.97
G17003100013,STCTY-17031 TRACT-    0013     IN CHICAGO IL,"3586","3585","1","3070","1","4697",55.65
G17003100014,STCTY-17031 TRACT-    0014     IN CHICAGO IL,"3942","3928","14","3479","11","9591",67.96
G17003100015,STCTY-17031 TRACT-    0015     IN CHICAGO IL,"2858","2841","17","2444","17","6667",63.32
G17003100016,STCTY-17031 TRACT-    0016     IN CHICAGO IL,"1190","1188","2","1016","2","7552",55.19
G17003100017,STCTY-17031 TRACT-    0017     IN CHICAGO IL,"2178","2174","4","1899","4","6708",64.84
G17003100018,STCTY-17031 TRACT-    0018     IN CHICAGO IL,"3647","3646","1","3144","1","0",45.95
G17003100019,STCTY-17031 TRACT-    0019     IN CHICAGO IL,"2123","2086","37","1861","3","0",31.45
G17003100020,STCTY-17031 TRACT-    0020     IN CHICAGO IL,"11074","11026","48","9210","24","0",35.27
G17003100021,STCTY-17031 TRACT-    0021     IN CHICAGO IL,"3227","3198","29","2661","27","0",60.73
G17003100022,STCTY-17031 TRACT-    0022     IN CHICAGO IL,"11058","11030","28","9321","14","4850",38.51
G17003100023,STCTY-17031 TRACT-    0023     IN CHICAGO IL,"5775","5444","331","4490","268","0",25.81
G17003100024,STCTY-17031 TRACT-    0024     IN CHICAGO IL,"11288","11184","104","9420","39","0",35.26
G17003100025,STCTY-17031 TRACT-    0025     IN CHICAGO IL,"0","0","0","0","0","0",0
G17003100026,STCTY-17031 TRACT-    0026     IN CHICAGO IL,"7266","7256","10","5605","2","3529",44.55
G17003100027,STCTY-17031 TRACT-    0027     IN CHICAGO IL,"7928","7885","43","6313","32","0",33.86
G17003100028,STCTY-17031 TRACT-    0028     IN CHICAGO IL,"6051","6028","23","4647","14","0",53.92
G17003100029,STCTY-17031 TRACT-    0029     IN CHICAGO IL,"2472","2469","3","2131","1","0",42.87
